question_id,subject,chapter,difficulty,attempts,correct,incorrect,accuracy_rate,performance_category
Q0461,Mathematics,Real Numbers,Hard,1924,786,1138,40.85,Difficult
Q0462,Mathematics,Some Applications of Trigonometry,Medium,5764,3168,2596,54.96,Moderate
Q0463,Mathematics,Polynomials,Easy,5777,4244,1533,73.46,Moderate
Q0465,Mathematics,Surface Areas and Volumes,Medium,1915,1148,767,59.95,Moderate
Q0466,Mathematics,Pair of Linear Equations in Two Variables,Easy,5750,4246,1504,73.84,Moderate
Q0467,Mathematics,Surface Areas and Volumes,Easy,5767,4398,1369,76.26,Moderate
Q0468,Mathematics,Surface Areas and Volumes,Medium,1921,1167,754,60.75,Moderate
Q0470,Mathematics,Arithmetic Progressions,Hard,1929,720,1209,37.33,Difficult
Q0471,Mathematics,Some Applications of Trigonometry,Easy,1930,1462,468,75.75,Moderate
Q0474,Mathematics,Real Numbers,Easy,5753,4281,1472,74.41,Moderate
Q0475,Mathematics,Statistics,Hard,7684,3109,4575,40.46,Difficult
Q0476,Mathematics,Polynomials,Medium,7686,4549,3137,59.19,Moderate
Q0477,Mathematics,Circles,Easy,1921,1451,470,75.53,Moderate
Q0479,Mathematics,Arithmetic Progressions,Medium,5754,3466,2288,60.24,Moderate
Q0480,Mathematics,Triangles,Hard,5771,2293,3478,39.73,Difficult
Q0481,Mathematics,Pair of Linear Equations in Two Variables,Hard,1920,868,1052,45.21,Difficult
Q0482,Mathematics,Some Applications of Trigonometry,Easy,1913,1451,462,75.85,Moderate
Q0483,Mathematics,Some Applications of Trigonometry,Easy,1930,1460,470,75.65,Moderate
Q0484,Mathematics,Some Applications of Trigonometry,Hard,1913,823,1090,43.02,Difficult
Q0485,Mathematics,Probability,Medium,3833,2429,1404,63.37,Moderate
Q0487,Mathematics,Surface Areas and Volumes,Hard,3855,1586,2269,41.14,Difficult
Q0488,Mathematics,Triangles,Hard,1930,793,1137,41.09,Difficult
Q0489,Mathematics,Areas Related to Circles,Medium,1926,1259,667,65.37,Moderate
Q0490,Mathematics,Surface Areas and Volumes,Medium,1917,1126,791,58.74,Moderate
Q0491,Mathematics,Real Numbers,Medium,1931,1147,784,59.4,Moderate
Q0492,Mathematics,Probability,Easy,3830,2877,953,75.12,Moderate
Q0493,Mathematics,Areas Related to Circles,Easy,3840,2907,933,75.7,Moderate
Q0494,Mathematics,Introduction to Trigonometry,Easy,3835,2821,1014,73.56,Moderate
Q0495,Mathematics,Pair of Linear Equations in Two Variables,Easy,1924,1496,428,77.75,Moderate
Q0497,Mathematics,Real Numbers,Medium,1921,1146,775,59.66,Moderate
Q0500,Mathematics,Introduction to Trigonometry,Medium,5763,3570,2193,61.95,Moderate
Q0501,English,The Proposal,Easy,1919,1575,344,82.07,Easy
Q0502,English,Two Stories about Flying,Medium,3839,2339,1500,60.93,Moderate
Q0504,English,The Sermon at Benares,Easy,1931,1430,501,74.05,Moderate
Q0506,English,From the Diary of Anne Frank,Medium,1932,1131,801,58.54,Moderate
Q0507,English,The Proposal,Medium,1930,1109,821,57.46,Moderate
Q0508,English,A Letter to God,Easy,1919,1587,332,82.7,Easy
Q0510,English,The Making of a Scientist,Hard,1930,780,1150,40.41,Difficult
Q0511,English,Madam Rides the Bus,Easy,1919,1534,385,79.94,Moderate
Q0512,English,From the Diary of Anne Frank,Easy,1931,1425,506,73.8,Moderate
Q0515,English,The Sermon at Benares,Medium,1932,1126,806,58.28,Moderate
Q0516,English,From the Diary of Anne Frank,Hard,1930,810,1120,41.97,Difficult
Q0517,English,A Letter to God,Medium,1932,1127,805,58.33,Moderate
Q0518,English,The Making of a Scientist,Hard,3837,1492,2345,38.88,Difficult
Q0519,English,Glimpses of India,Medium,1931,1147,784,59.4,Moderate
Q0520,English,Nelson Mandela: Long Walk to Freedom,Medium,3851,2153,1698,55.91,Moderate
Q0521,English,Glimpses of India,Medium,3838,2280,1558,59.41,Moderate
Q0523,English,A Letter to God,Medium,1916,996,920,51.98,Moderate
Q0524,English,Madam Rides the Bus,Medium,1914,1028,886,53.71,Moderate
Q0525,English,The Sermon at Benares,Easy,1930,1450,480,75.13,Moderate
Q0526,English,Glimpses of India,Easy,1919,1543,376,80.41,Easy
Q0527,English,The Midnight Visitor,Hard,1916,734,1182,38.31,Difficult
Q0530,English,Footprints without Feet,Easy,1931,1441,490,74.62,Moderate
Q0531,English,A Triumph of Surgery,Easy,5756,4317,1439,75.0,Moderate
Q0533,English,Madam Rides the Bus,Medium,1919,1238,681,64.51,Moderate
Q0534,English,The Proposal,Medium,1914,1008,906,52.66,Moderate
Q0535,English,A Triumph of Surgery,Easy,1923,1466,457,76.24,Moderate
Q0537,English,The Thief Story,Medium,1916,1057,859,55.17,Moderate
Q0539,English,A Triumph of Surgery,Easy,1932,1439,493,74.48,Moderate
Q0540,English,Glimpses of India,Easy,1916,1302,614,67.95,Moderate
Q0545,English,The Midnight Visitor,Medium,1914,1019,895,53.24,Moderate
Q0546,English,The Thief Story,Hard,1919,675,1244,35.17,Difficult
Q0547,English,A Letter to God,Medium,1931,1140,791,59.04,Moderate
Q0548,English,A Triumph of Surgery,Hard,1923,744,1179,38.69,Difficult
Q0550,English,The Making of a Scientist,Medium,1918,1127,791,58.76,Moderate
Q0552,English,From the Diary of Anne Frank,Easy,3851,3000,851,77.9,Moderate
Q0555,English,The Proposal,Medium,1931,1135,796,58.78,Moderate
Q0557,English,A Triumph of Surgery,Medium,3837,2136,1701,55.67,Moderate
Q0559,English,Madam Rides the Bus,Hard,3850,1579,2271,41.01,Difficult
Q0561,English,The Midnight Visitor,Medium,3850,2206,1644,57.3,Moderate
Q0568,English,Footprints without Feet,Medium,1930,1148,782,59.48,Moderate
Q0570,English,The Sermon at Benares,Easy,1916,1272,644,66.39,Moderate
Q0573,English,Glimpses of India,Medium,1919,1245,674,64.88,Moderate
Q0579,English,From the Diary of Anne Frank,Medium,3837,2337,1500,60.91,Moderate
Q0582,English,A Question of Trust,Easy,3854,2881,973,74.75,Moderate
Q0583,English,Footprints without Feet,Easy,1923,1438,485,74.78,Moderate
Q0586,English,Footprints without Feet,Hard,1914,682,1232,35.63,Difficult
Q0588,English,Nelson Mandela: Long Walk to Freedom,Easy,1923,1451,472,75.46,Moderate
Q0590,English,Two Stories about Flying,Medium,3849,2244,1605,58.3,Moderate
Q0591,English,Two Stories about Flying,Medium,1919,1024,895,53.36,Moderate
Q0593,English,Two Stories about Flying,Easy,1923,1436,487,74.67,Moderate
Q0596,English,Glimpses of India,Hard,3839,1616,2223,42.09,Difficult
Q0597,English,A Triumph of Surgery,Medium,3833,2211,1622,57.68,Moderate
Q0598,English,Two Stories about Flying,Easy,5780,4332,1448,74.95,Moderate
Q0599,English,Glimpses of India,Easy,3834,2766,1068,72.14,Moderate
Q0600,English,Madam Rides the Bus,Medium,1914,1014,900,52.98,Moderate
Q0602,English,A Letter to God,Easy,3855,2905,950,75.36,Moderate
Q0603,English,Glimpses of India,Medium,1916,1014,902,52.92,Moderate
Q0604,English,From the Diary of Anne Frank,Easy,1914,1309,605,68.39,Moderate
Q0605,English,The Midnight Visitor,Hard,1930,811,1119,42.02,Difficult
Q0606,English,A Triumph of Surgery,Medium,1919,1219,700,63.52,Moderate
Q0607,English,The Midnight Visitor,Easy,1918,1464,454,76.33,Moderate
Q0613,English,A Question of Trust,Medium,3862,2240,1622,58.0,Moderate
Q0614,English,Nelson Mandela: Long Walk to Freedom,Medium,1919,1257,662,65.5,Moderate
Q0616,English,A Question of Trust,Easy,1914,1304,610,68.13,Moderate
Q0618,English,Madam Rides the Bus,Medium,3834,2136,1698,55.71,Moderate
Q0619,English,Two Stories about Flying,Hard,1919,859,1060,44.76,Difficult
Q0622,English,The Proposal,Hard,5748,2204,3544,38.34,Difficult
Q0625,English,The Proposal,Medium,1919,1020,899,53.15,Moderate
Q0626,English,Nelson Mandela: Long Walk to Freedom,Easy,1923,1457,466,75.77,Moderate
Q0628,English,A Triumph of Surgery,Easy,5748,4035,1713,70.2,Moderate
Q0630,English,A Triumph of Surgery,Easy,1919,1270,649,66.18,Moderate
Q0631,English,From the Diary of Anne Frank,Easy,3837,2818,1019,73.44,Moderate
Q0633,English,Footprints without Feet,Medium,1920,1125,795,58.59,Moderate
Q0636,English,Footprints without Feet,Medium,3848,2120,1728,55.09,Moderate
Q0638,English,A Question of Trust,Hard,5765,2255,3510,39.12,Difficult
Q0641,English,Nelson Mandela: Long Walk to Freedom,Medium,3845,2108,1737,54.82,Moderate
Q0642,English,A Letter to God,Easy,1914,1305,609,68.18,Moderate
Q0643,English,Footprints without Feet,Medium,5769,3357,2412,58.19,Moderate
Q0647,English,The Sermon at Benares,Easy,1918,1406,512,73.31,Moderate
Q0649,English,The Midnight Visitor,Medium,5774,3432,2342,59.44,Moderate
Q0650,English,Two Stories about Flying,Medium,1919,1215,704,63.31,Moderate
Q0652,English,The Making of a Scientist,Medium,1923,1160,763,60.32,Moderate
Q0656,English,Madam Rides the Bus,Hard,5758,2398,3360,41.65,Difficult
Q0658,English,Footprints without Feet,Medium,3839,2105,1734,54.83,Moderate
Q0662,English,The Midnight Visitor,Hard,1920,804,1116,41.88,Difficult
Q0663,English,From the Diary of Anne Frank,Medium,1923,1116,807,58.03,Moderate
Q0664,English,The Proposal,Easy,3851,2784,1067,72.29,Moderate
Q0668,English,Madam Rides the Bus,Medium,1914,1032,882,53.92,Moderate
Q0670,English,The Midnight Visitor,Easy,7693,5480,2213,71.23,Moderate
Q0671,English,Glimpses of India,Medium,3847,2183,1664,56.75,Moderate
Q0673,English,Two Stories about Flying,Hard,3839,1453,2386,37.85,Difficult
Q0675,English,The Midnight Visitor,Hard,5757,2308,3449,40.09,Difficult
Q0676,English,A Triumph of Surgery,Hard,1920,780,1140,40.62,Difficult
Q0678,English,Two Stories about Flying,Easy,1930,1449,481,75.08,Moderate
Q0680,English,The Making of a Scientist,Easy,5765,4143,1622,71.86,Moderate
Q0682,English,The Sermon at Benares,Medium,1930,1152,778,59.69,Moderate
Q0685,English,Nelson Mandela: Long Walk to Freedom,Hard,1930,782,1148,40.52,Difficult
Q0686,English,Madam Rides the Bus,Medium,1918,1132,786,59.02,Moderate
Q0687,English,The Making of a Scientist,Easy,3841,2889,952,75.21,Moderate
Q0688,English,The Sermon at Benares,Medium,1918,1149,769,59.91,Moderate
Q0689,English,A Letter to God,Hard,1932,741,1191,38.35,Difficult
Q0691,English,The Midnight Visitor,Medium,1919,1019,900,53.1,Moderate
Q0692,English,From the Diary of Anne Frank,Hard,5771,2355,3416,40.81,Difficult
Q0693,English,Glimpses of India,Easy,1919,1318,601,68.68,Moderate
Q0695,English,A Question of Trust,Hard,1930,807,1123,41.81,Difficult
Q0696,English,From the Diary of Anne Frank,Medium,1919,1240,679,64.62,Moderate
Q0697,English,From the Diary of Anne Frank,Medium,1916,1007,909,52.56,Moderate
Q0698,English,A Triumph of Surgery,Medium,3850,2247,1603,58.36,Moderate
Q0699,English,The Sermon at Benares,Easy,3854,2885,969,74.86,Moderate
Q0701,English,A Triumph of Surgery,Hard,1930,796,1134,41.24,Difficult
Q0702,English,Nelson Mandela: Long Walk to Freedom,Easy,1919,1291,628,67.27,Moderate
Q0703,English,The Proposal,Medium,1920,1155,765,60.16,Moderate
Q0704,English,From the Diary of Anne Frank,Medium,1916,1027,889,53.6,Moderate
Q0705,English,A Letter to God,Easy,3839,2736,1103,71.27,Moderate
Q0707,English,A Triumph of Surgery,Easy,1932,1450,482,75.05,Moderate
Q0708,English,A Question of Trust,Medium,3843,2254,1589,58.65,Moderate
Q0709,English,From the Diary of Anne Frank,Easy,3851,2781,1070,72.22,Moderate
Q0711,English,A Triumph of Surgery,Easy,5766,4010,1756,69.55,Moderate
Q0712,English,Madam Rides the Bus,Hard,1918,772,1146,40.25,Difficult
Q0713,English,The Proposal,Easy,1919,1318,601,68.68,Moderate
Q0714,English,A Question of Trust,Medium,1931,1117,814,57.85,Moderate
Q0716,English,Two Stories about Flying,Medium,1923,1117,806,58.09,Moderate
Q0717,English,Two Stories about Flying,Easy,3844,2781,1063,72.35,Moderate
Q0718,English,The Midnight Visitor,Medium,3838,2320,1518,60.45,Moderate
Q0719,English,A Letter to God,Easy,5769,4438,1331,76.93,Moderate
Q0721,English,The Sermon at Benares,Hard,1916,680,1236,35.49,Difficult
Q0722,English,From the Diary of Anne Frank,Medium,1932,1125,807,58.23,Moderate
Q0723,English,A Letter to God,Medium,1919,1256,663,65.45,Moderate
Q0724,English,Madam Rides the Bus,Medium,1920,1120,800,58.33,Moderate
Q0725,English,The Midnight Visitor,Easy,1930,1461,469,75.7,Moderate
Q0726,English,The Midnight Visitor,Hard,1931,756,1175,39.15,Difficult
Q0728,English,A Letter to God,Easy,1914,1316,598,68.76,Moderate
Q0729,English,A Triumph of Surgery,Medium,1931,1134,797,58.73,Moderate
Q0730,English,A Triumph of Surgery,Hard,1919,695,1224,36.22,Difficult
Q0731,English,The Sermon at Benares,Medium,1920,1141,779,59.43,Moderate
Q0734,English,A Triumph of Surgery,Easy,1914,1287,627,67.24,Moderate
Q0736,English,Madam Rides the Bus,Hard,3839,1463,2376,38.11,Difficult
Q0737,English,The Thief Story,Medium,1930,1117,813,57.88,Moderate
Q0738,English,From the Diary of Anne Frank,Medium,1916,1044,872,54.49,Moderate
Q0740,English,Footprints without Feet,Medium,1931,1134,797,58.73,Moderate
Q0741,English,The Sermon at Benares,Medium,5772,3236,2536,56.06,Moderate
Q0747,English,The Proposal,Medium,3851,2166,1685,56.25,Moderate
Q0748,English,Nelson Mandela: Long Walk to Freedom,Medium,3862,2255,1607,58.39,Moderate
Q0749,English,A Triumph of Surgery,Easy,1931,1453,478,75.25,Moderate
Q0751,Social,Nationalism in India,Hard,1933,763,1170,39.47,Difficult
Q0753,Social,Forest and Wildlife Resources,Easy,3821,3101,720,81.16,Easy
Q0754,Social,Power Sharing,Easy,1911,1537,374,80.43,Easy
Q0755,Social,Nationalism in India,Hard,3837,1550,2287,40.4,Difficult
Q0757,Social,The Rise of Nationalism in Europe,Medium,5773,3249,2524,56.28,Moderate
Q0759,Social,Nationalism in India,Medium,3841,2299,1542,59.85,Moderate
Q0761,Social,Power Sharing,Medium,1911,1198,713,62.69,Moderate
Q0763,Social,Sectors of the Indian Economy,Easy,3844,2956,888,76.9,Moderate
Q0764,Social,The Making of a Global World,Hard,3851,1534,2317,39.83,Difficult
Q0765,Social,Water Resources,Easy,1911,1545,366,80.85,Easy
Q0766,Social,The Age of Industrialisation,Medium,1933,1128,805,58.35,Moderate
Q0767,Social,Water Resources,Hard,1914,826,1088,43.16,Difficult
Q0768,Social,The Age of Industrialisation,Medium,3845,2294,1551,59.66,Moderate
Q0770,Social,Nationalism in India,Easy,5778,4248,1530,73.52,Moderate
Q0771,Social,The Making of a Global World,Medium,5769,3481,2288,60.34,Moderate
Q0776,Social,Forest and Wildlife Resources,Easy,1933,1415,518,73.2,Moderate
Q0777,Social,The Making of a Global World,Easy,3825,2958,867,77.33,Moderate
Q0779,Social,Federalism,Hard,1911,824,1087,43.12,Difficult
Q0781,Social,Nationalism in India,Hard,5748,2378,3370,41.37,Difficult
Q0784,Social,The Making of a Global World,Easy,1927,1531,396,79.45,Moderate
Q0786,Social,The Making of a Global World,Medium,3831,2266,1565,59.15,Moderate
Q0788,Social,Money and Credit,Easy,1928,1409,519,73.08,Moderate
Q0789,Social,Money and Credit,Medium,1914,1190,724,62.17,Moderate
Q0790,Social,Agriculture,Hard,1914,810,1104,42.32,Difficult
Q0791,Social,Water Resources,Medium,5770,3395,2375,58.84,Moderate
Q0792,Social,"Gender, Religion and Caste",Medium,1927,1207,720,62.64,Moderate
Q0797,Social,Power Sharing,Hard,1928,771,1157,39.99,Difficult
Q0798,Social,Agriculture,Easy,1911,1522,389,79.64,Moderate
Q0799,Social,Sectors of the Indian Economy,Easy,3824,2933,891,76.7,Moderate
Q0800,Social,Nationalism in India,Medium,1918,1125,793,58.65,Moderate
Q0802,Social,Power Sharing,Easy,1914,1426,488,74.5,Moderate
Q0803,Social,Sectors of the Indian Economy,Hard,1928,746,1182,38.69,Difficult
Q0804,Social,The Age of Industrialisation,Medium,1918,1078,840,56.2,Moderate
Q0806,Social,The Age of Industrialisation,Easy,1927,1551,376,80.49,Easy
Q0807,Social,Agriculture,Easy,1927,1427,500,74.05,Moderate
Q0809,Social,Sectors of the Indian Economy,Medium,1918,1089,829,56.78,Moderate
Q0812,Social,"Gender, Religion and Caste",Easy,1918,1399,519,72.94,Moderate
Q0813,Social,The Making of a Global World,Medium,1917,1187,730,61.92,Moderate
Q0814,Social,Sectors of the Indian Economy,Medium,3825,2257,1568,59.01,Moderate
Q0815,Social,Power Sharing,Medium,1918,1087,831,56.67,Moderate
Q0817,Social,Resources and Development,Medium,3837,2268,1569,59.11,Moderate
Q0818,Social,Money and Credit,Easy,1914,1421,493,74.24,Moderate
Q0819,Social,Money and Credit,Easy,1927,1526,401,79.19,Moderate
Q0822,Social,The Age of Industrialisation,Hard,1927,821,1106,42.61,Difficult
Q0824,Social,Water Resources,Medium,1927,1085,842,56.31,Moderate
Q0825,Social,"Gender, Religion and Caste",Medium,1918,1121,797,58.45,Moderate
Q0827,Social,Sectors of the Indian Economy,Easy,1917,1546,371,80.65,Easy
Q0828,Social,Water Resources,Easy,7678,5852,1826,76.22,Moderate
Q0829,Social,Development,Hard,1917,806,1111,42.04,Difficult
Q0830,Social,Agriculture,Medium,1927,1226,701,63.62,Moderate
Q0831,Social,Federalism,Easy,3844,3092,752,80.44,Easy
Q0833,Social,Agriculture,Easy,1914,1548,366,80.88,Easy
Q0839,Social,Money and Credit,Medium,1914,1203,711,62.85,Moderate
Q0844,Social,The Age of Industrialisation,Hard,5745,2352,3393,40.94,Difficult
Q0845,Social,"Gender, Religion and Caste",Medium,1927,1084,843,56.25,Moderate
Q0847,Social,Nationalism in India,Medium,7672,4578,3094,59.67,Moderate
Q0855,Social,Money and Credit,Medium,3838,2298,1540,59.87,Moderate
Q0856,Social,Agriculture,Medium,1927,1076,851,55.84,Moderate
Q0857,Social,Nationalism in India,Medium,1917,1163,754,60.67,Moderate
Q0858,Social,Nationalism in India,Hard,1914,837,1077,43.73,Difficult
Q0859,Social,Resources and Development,Easy,1911,1536,375,80.38,Easy
Q0861,Social,"Gender, Religion and Caste",Medium,1910,1167,743,61.1,Moderate
Q0863,Social,Federalism,Medium,5754,3468,2286,60.27,Moderate
Q0864,Social,Forest and Wildlife Resources,Medium,1918,1102,816,57.46,Moderate
Q0865,Social,Development,Hard,1917,809,1108,42.2,Difficult
Q0868,Social,Sectors of the Indian Economy,Medium,1928,1114,814,57.78,Moderate
Q0869,Social,Water Resources,Medium,3824,2363,1461,61.79,Moderate
Q0871,Social,Resources and Development,Hard,1914,789,1125,41.22,Difficult
Q0873,Social,Federalism,Hard,1914,728,1186,38.04,Difficult
Q0874,Social,Development,Easy,1910,1536,374,80.42,Easy
Q0875,Social,"Gender, Religion and Caste",Easy,1933,1390,543,71.91,Moderate
Q0877,Social,Development,Hard,1927,704,1223,36.53,Difficult
Q0880,Social,The Age of Industrialisation,Medium,1928,1099,829,57.0,Moderate
Q0881,Social,Nationalism in India,Medium,1927,1212,715,62.9,Moderate
Q0882,Social,Forest and Wildlife Resources,Medium,1917,1190,727,62.08,Moderate
Q0884,Social,Water Resources,Hard,1911,809,1102,42.33,Difficult
Q0885,Social,The Making of a Global World,Medium,1911,1177,734,61.59,Moderate
Q0888,Social,The Rise of Nationalism in Europe,Hard,1933,748,1185,38.7,Difficult
Q0889,Social,Power Sharing,Easy,1914,1378,536,72.0,Moderate
Q0890,Social,Power Sharing,Medium,3842,2189,1653,56.98,Moderate
Q0895,Social,Power Sharing,Easy,3860,2984,876,77.31,Moderate
Q0896,Social,"Gender, Religion and Caste",Easy,1927,1488,439,77.22,Moderate
Q0897,Social,"Gender, Religion and Caste",Medium,1911,1203,708,62.95,Moderate
Q0899,Social,Money and Credit,Medium,1933,1122,811,58.04,Moderate
Q0900,Social,Nationalism in India,Easy,1927,1413,514,73.33,Moderate
Q0901,Social,Agriculture,Medium,1914,1216,698,63.53,Moderate
Q0902,Social,Resources and Development,Medium,1917,1220,697,63.64,Moderate
Q0904,Social,Development,Easy,1927,1404,523,72.86,Moderate
Q0906,Social,Money and Credit,Easy,3842,2826,1016,73.56,Moderate
Q0908,Social,Money and Credit,Hard,1928,757,1171,39.26,Difficult
Q0909,Social,Sectors of the Indian Economy,Medium,1933,1062,871,54.94,Moderate
Q0912,Social,"Gender, Religion and Caste",Easy,1910,1537,373,80.47,Easy
Q0913,Social,Power Sharing,Medium,5751,3505,2246,60.95,Moderate
Q0914,Social,Money and Credit,Hard,1917,835,1082,43.56,Difficult
Q0915,Social,The Making of a Global World,Medium,3855,2195,1660,56.94,Moderate
Q0916,Social,Federalism,Medium,1918,1093,825,56.99,Moderate
Q0919,Social,The Age of Industrialisation,Easy,3832,2931,901,76.49,Moderate
Q0920,Social,Water Resources,Hard,3829,1572,2257,41.06,Difficult
Q0921,Social,Money and Credit,Medium,3835,2253,1582,58.75,Moderate
Q0922,Social,Development,Medium,1917,1198,719,62.49,Moderate
Q0924,Social,Development,Easy,1927,1532,395,79.5,Moderate
Q0927,Social,The Making of a Global World,Easy,3824,2926,898,76.52,Moderate
Q0928,Social,The Rise of Nationalism in Europe,Medium,1928,1120,808,58.09,Moderate
Q0931,Social,The Rise of Nationalism in Europe,Medium,1928,1083,845,56.17,Moderate
Q0932,Social,Federalism,Easy,1911,1524,387,79.75,Moderate
Q0933,Social,The Age of Industrialisation,Medium,1911,1183,728,61.9,Moderate
Q0935,Social,Development,Medium,3837,2271,1566,59.19,Moderate
Q0937,Social,Water Resources,Easy,1928,1396,532,72.41,Moderate
Q0940,Social,Sectors of the Indian Economy,Medium,3846,2198,1648,57.15,Moderate
Q0942,Social,Power Sharing,Medium,1910,1206,704,63.14,Moderate
Q0944,Social,Development,Medium,1933,1083,850,56.03,Moderate
Q0945,Social,The Age of Industrialisation,Easy,1914,1391,523,72.68,Moderate
Q0946,Social,Water Resources,Medium,3831,2391,1440,62.41,Moderate
Q0948,Social,Federalism,Medium,3844,2370,1474,61.65,Moderate
Q0949,Social,"Gender, Religion and Caste",Medium,1927,1212,715,62.9,Moderate
Q0950,Social,Federalism,Easy,1918,1399,519,72.94,Moderate
Q0951,Social,"Gender, Religion and Caste",Hard,1933,763,1170,39.47,Difficult
Q0952,Social,Resources and Development,Hard,1914,740,1174,38.66,Difficult
Q0953,Social,Sectors of the Indian Economy,Medium,5774,3328,2446,57.64,Moderate
Q0956,Social,The Making of a Global World,Hard,1914,806,1108,42.11,Difficult
Q0959,Social,Nationalism in India,Medium,1914,1196,718,62.49,Moderate
Q0960,Social,Agriculture,Easy,1910,1518,392,79.48,Moderate
Q0962,Social,Sectors of the Indian Economy,Medium,5782,3394,2388,58.7,Moderate
Q0963,Social,The Rise of Nationalism in Europe,Medium,1933,1104,829,57.11,Moderate
Q0964,Social,Forest and Wildlife Resources,Medium,1914,1061,853,55.43,Moderate
Q0965,Social,The Age of Industrialisation,Easy,1933,1441,492,74.55,Moderate
Q0968,Social,The Rise of Nationalism in Europe,Medium,1911,1184,727,61.96,Moderate
Q0969,Social,Power Sharing,Easy,1918,1403,515,73.15,Moderate
Q0970,Social,Nationalism in India,Medium,1927,1100,827,57.08,Moderate
Q0971,Social,Sectors of the Indian Economy,Hard,1914,741,1173,38.71,Difficult
Q0972,Social,The Rise of Nationalism in Europe,Hard,1910,817,1093,42.77,Difficult
Q0973,Social,The Making of a Global World,Medium,1917,1190,727,62.08,Moderate
Q0976,Social,Resources and Development,Easy,1910,1530,380,80.1,Easy
Q0978,Social,"Gender, Religion and Caste",Medium,1910,1176,734,61.57,Moderate
Q0979,Social,Nationalism in India,Medium,1914,1074,840,56.11,Moderate
Q0980,Social,Forest and Wildlife Resources,Easy,3846,2797,1049,72.72,Moderate
Q0981,Social,The Rise of Nationalism in Europe,Medium,1911,1202,709,62.9,Moderate
Q0982,Social,Water Resources,Medium,1914,1170,744,61.13,Moderate
Q0983,Social,Agriculture,Easy,1911,1542,369,80.69,Easy
Q0984,Social,The Making of a Global World,Easy,1917,1557,360,81.22,Easy
Q0985,Social,Resources and Development,Easy,3860,2849,1011,73.81,Moderate
Q0987,Social,Federalism,Hard,1927,800,1127,41.52,Difficult
Q0988,Social,Agriculture,Medium,1933,1124,809,58.15,Moderate
Q0989,Social,Agriculture,Hard,1914,709,1205,37.04,Difficult
Q0990,Social,Water Resources,Hard,1911,836,1075,43.75,Difficult
Q0991,Social,"Gender, Religion and Caste",Easy,1927,1515,412,78.62,Moderate
Q0992,Social,The Age of Industrialisation,Medium,1928,1091,837,56.59,Moderate
Q0993,Social,Sectors of the Indian Economy,Easy,1927,1549,378,80.38,Easy
Q0994,Social,Sectors of the Indian Economy,Medium,1917,1190,727,62.08,Moderate
Q0995,Social,Power Sharing,Easy,1914,1514,400,79.1,Moderate
Q0997,Social,Resources and Development,Easy,3842,2924,918,76.11,Moderate
Q0999,Social,Sectors of the Indian Economy,Medium,5779,3296,2483,57.03,Moderate
Q1000,Social,Sectors of the Indian Economy,Easy,1914,1525,389,79.68,Moderate
